province,city,total_genealogy_count
上海市,上海市,688
云南省,临沧市,20
云南省,丽江市,12
云南省,保山市,147
云南省,大理白族自治州,65
云南省,德宏傣族景颇族自治州,7
云南省,文山壮族苗族自治州,18
云南省,昆明市,62
云南省,昭通市,77
云南省,普洱市,10
云南省,曲靖市,121
云南省,楚雄彝族自治州,16
云南省,玉溪市,23
云南省,红河哈尼族彝族自治州,33
云南省,西双版纳傣族自治州,2
云南省,迪庆藏族自治州,2
内蒙古自治区,乌兰察布市,2
内蒙古自治区,包头市,4
内蒙古自治区,呼伦贝尔市,1
内蒙古自治区,呼和浩特市,14
内蒙古自治区,巴彦淖尔市,1
内蒙古自治区,赤峰市,24
内蒙古自治区,通辽市,4
内蒙古自治区,鄂尔多斯市,7
内蒙古自治区,阿拉善盟,1
北京市,北京市,86
吉林省,吉林市,18
吉林省,四平市,4
吉林省,延边朝鲜族自治州,3
吉林省,松原市,3
吉林省,白山市,2
吉林省,通化市,1
吉林省,长春市,24
四川省,乐山市,45
四川省,内江市,149
四川省,凉山彝族自治州,50
四川省,南充市,156
四川省,宜宾市,122
四川省,巴中市,110
四川省,广元市,75
四川省,广安市,170
四川省,德阳市,71
四川省,成都市,320
四川省,攀枝花市,1
四川省,泸州市,96
四川省,甘孜藏族自治州,2
四川省,眉山市,65
四川省,绵阳市,93
四川省,自贡市,68
四川省,资阳市,207
四川省,达州市,326
四川省,遂宁市,98
四川省,重庆市,2
四川省,阿坝藏族羌族自治州,1
四川省,雅安市,23
天津市,天津市,113
宁夏回族自治区,中卫市,7
宁夏回族自治区,吴忠市,12
宁夏回族自治区,回族自治区银川市,1
宁夏回族自治区,固原市,11
宁夏回族自治区,石嘴山市,5
宁夏回族自治区,银川市,4
安徽省,亳州市,25
安徽省,六安市,183
安徽省,合肥市,886
安徽省,安庆市,1480
安徽省,宣城市,425
安徽省,宿州市,64
安徽省,巢湖市,70
安徽省,池州市,121
安徽省,淮北市,18
安徽省,淮南市,89
安徽省,滁州市,109
安徽省,芜湖市,173
安徽省,蚌埠市,69
安徽省,铜陵市,70
安徽省,阜阳市,79
安徽省,马鞍山市,98
安徽省,黄山市,1025
山东省,东营市,48
山东省,临沂市,192
山东省,威海市,36
山东省,德州市,176
山东省,日照市,125
山东省,枣庄市,164
山东省,泰安市,184
山东省,济南市,161
山东省,济宁市,233
山东省,淄博市,668
山东省,滨州市,143
山东省,潍坊市,366
山东省,烟台市,621
山东省,聊城市,94
山东省,聊城市 ,1
山东省,莱芜市,13
山东省,菏泽市,126
山东省,青岛市,906
山西省,临汾市,115
山西省,吕梁市,137
山西省,大同市,33
山西省,太原市,83
山西省,忻州市,263
山西省,晋中市,112
山西省,晋城市,33
山西省,朔州市,86
山西省,运城市,82
山西省,长治市,70
山西省,阳泉市,86
广东省,东莞市,142
广东省,中山市,122
广东省,云浮市,127
广东省,佛山市,464
广东省,兴宁市,1
广东省,广州市,348
广东省,恩平市,1
广东省,惠州市,94
广东省,揭阳市,193
广东省,梅州市,787
广东省,梅州市  ,2
广东省,汕头市,161
广东省,汕尾市,99
广东省,江门市,627
广东省,河源市,226
广东省,深圳市,104
广东省,清远市,123
广东省,清远市  ,4
广东省,湛江市,97
广东省,潮州市,143
广东省,珠海市,29
广东省,肇庆市,130
广东省,茂名市,202
广东省,阳江市,95
广东省,阳江市  ,2
广东省,韶关市,318
广西壮族自治区,北海市,11
广西壮族自治区,南宁市,98
广西壮族自治区,崇左市,11
广西壮族自治区,来宾市,37
广西壮族自治区,柳州市,29
广西壮族自治区,桂林市,116
广西壮族自治区,梧州市,79
广西壮族自治区,河池市,54
广西壮族自治区,玉林市,223
广西壮族自治区,百色市,24
广西壮族自治区,贵港市,105
广西壮族自治区,贺州市,41
广西壮族自治区,钦州市,41
广西壮族自治区,防城港市,17
新疆维吾尔自治区,伊犁哈萨克自治州,1
新疆维吾尔自治区,昌吉回族自治州,2
江苏省,南京市,151
江苏省,南通市,209
江苏省,宿迁市,154
江苏省,常州市,2149
江苏省,徐州市,305
江苏省,扬州市,493
江苏省,无锡市,3215
江苏省,泰州市,497
江苏省,淮安市,171
江苏省,盐城市,752
江苏省,苏州市,811
江苏省,连云港市,84
江苏省,镇江市,903
江西省,上饶市,1062
江西省,九江市,526
江西省,保山市,1
江西省,南充市,1
江西省,南昌市,226
江西省,吉安市,592
江西省,宜春市,1780
江西省,抚州市,460
江西省,抚州市 ,5
江西省,新余市,94
江西省,新余市  ,1
江西省,景德镇市,90
江西省,萍乡市,382
江西省,赣州市,1456
江西省,鹰潭市,100
河北省,保定市,74
河北省,唐山市,43
河北省,廊坊市,35
河北省,张家口市,10
河北省,承德市,14
河北省,沧州市,522
河北省,石家庄市,64
河北省,秦皇岛市,18
河北省,衡水市,90
河北省,邢台市,59
河北省,邯郸市,50
河南省,三门峡市,45
河南省,信阳市,251
河南省,南阳市,316
河南省,周口市,188
河南省,商丘市,129
河南省,安阳市,89
河南省,平顶山市,79
河南省,开封市,99
河南省,新乡市,177
河南省,洛阳市,440
河南省,济源市,41
河南省,漯河市,7
河南省,濮阳市,39
河南省,焦作市,134
河南省,许昌市,57
河南省,郑州市,350
河南省,驻马店市,70
河南省,鹤壁市,28
浙江省,丽水市,1944
浙江省,台州市,724
浙江省,嘉兴市,366
浙江省,宁波市,2410
浙江省,杭州市,1561
浙江省,温州市,1914
浙江省,湖州市,275
浙江省,绍兴市,3288
浙江省,舟山市,102
浙江省,衢州市,1090
浙江省,金华市,5133
海南省,万宁市,24
海南省,三亚市,4
海南省,五指山市,9
海南省,儋州市,9
海南省,文昌市,41
海南省,海口市,46
海南省,琼海市,28
湖北省,仙桃市,192
湖北省,十堰市,67
湖北省,咸宁市,378
湖北省,天门市,77
湖北省,孝感市,475
湖北省,宜昌市,124
湖北省,恩施土家族苗族自治州,146
湖北省,武汉市,1066
湖北省,潜江市,35
湖北省,荆州市,354
湖北省,荆门市,83
湖北省,襄阳市,39
湖北省,鄂州市,140
湖北省,随州市,60
湖北省,黄冈市,2963
湖北省,黄石市,283
湖南省,娄底市,454
湖南省,岳阳市,1087
湖南省,常德市,883
湖南省,张家界市,94
湖南省,怀化市,223
湖南省,株洲市,706
湖南省,永州市,317
湖南省,湘潭市,2280
湖南省,湘西土家族苗族自治州,64
湖南省,益阳市,1479
湖南省,衡阳市,775
湖南省,邵阳市,1383
湖南省,郴州市,638
湖南省,长沙市,2580
甘肃省,临夏回族自治州,5
甘肃省,兰州市,78
甘肃省,回族自治州,1
甘肃省,天水市,25
甘肃省,定西市,40
甘肃省,平凉市,19
甘肃省,庆阳市,17
甘肃省,张掖市,11
甘肃省,武威市,16
甘肃省,甘南藏族自治州,2
甘肃省,白银市,31
甘肃省,酒泉市,1
甘肃省,金昌市,5
甘肃省,陇南市,9
福建省,三明市,439
福建省,南平市,251
福建省,厦门市,127
福建省,宁德市,226
福建省,泉州市,1041
福建省,漳州市,746
福建省,福州市,718
福建省,莆田市,234
福建省,龙岩市,825
西藏自治区,自治区山南地,1
贵州省,六盘水市,29
贵州省,安顺市,40
贵州省,毕节市,123
贵州省,贵阳市,46
贵州省,遵义市,126
贵州省,铜仁市,35
贵州省,黔东南苗族侗族自治州,39
贵州省,黔南布依族苗族自治州,27
贵州省,黔西南布依族苗族自治州,39
辽宁省,丹东市,48
辽宁省,大连市,52
辽宁省,抚顺市,30
辽宁省,朝阳市,12
辽宁省,本溪市,28
辽宁省,沈阳市,62
辽宁省,盘锦市,15
辽宁省,营口市,23
辽宁省,葫芦岛市,6
辽宁省,辽阳市,64
辽宁省,铁岭市,56
辽宁省,锦州市,18
辽宁省,阜新市,2
辽宁省,鞍山市,119
重庆市,重庆市,1676
陕西省,咸阳市,156
陕西省,商洛市,70
陕西省,安康市,65
陕西省,宝鸡市,35
陕西省,延安市,75
陕西省,榆林市,213
陕西省,汉中市,14
陕西省,渭南市,72
陕西省,西安市,75
陕西省,铜川市,4
青海省,海东地,7
青海省,海东市,6
青海省,海北藏族自治州,3
青海省,海西蒙古族藏族自治州,2
青海省,西宁市,23
青海省,黄南藏族自治州,1
黑龙江省,佳木斯市,3
黑龙江省,哈尔滨市,12
黑龙江省,大庆市,1
黑龙江省,牡丹江市,3
黑龙江省,绥化市,6
黑龙江省,黑河市,1
黑龙江省,齐齐哈尔市,10
