province,city,year,genealogy_count
上海市,上海市,--,159
上海市,上海市,1690,1
上海市,上海市,1707,1
上海市,上海市,1719,1
上海市,上海市,1720,1
上海市,上海市,1723,1
上海市,上海市,1735,1
上海市,上海市,1739,1
上海市,上海市,1745,1
上海市,上海市,1755,1
上海市,上海市,1760,1
上海市,上海市,1761,1
上海市,上海市,1765,1
上海市,上海市,1766,1
上海市,上海市,1769,1
上海市,上海市,1773,1
上海市,上海市,1775,1
上海市,上海市,1776,1
上海市,上海市,1783,1
上海市,上海市,1784,1
上海市,上海市,1789,1
上海市,上海市,1790,1
上海市,上海市,1791,2
上海市,上海市,1795,2
上海市,上海市,1797,4
上海市,上海市,1798,2
上海市,上海市,1799,3
上海市,上海市,1801,2
上海市,上海市,1802,1
上海市,上海市,1806,3
上海市,上海市,1809,8
上海市,上海市,1811,1
上海市,上海市,1812,1
上海市,上海市,1813,1
上海市,上海市,1816,1
上海市,上海市,1819,1
上海市,上海市,1821,1
上海市,上海市,1823,2
上海市,上海市,1825,2
上海市,上海市,1826,1
上海市,上海市,1827,1
上海市,上海市,1828,1
上海市,上海市,1829,1
上海市,上海市,1831,1
上海市,上海市,1832,1
上海市,上海市,1833,1
上海市,上海市,1834,1
上海市,上海市,1836,1
上海市,上海市,1837,1
上海市,上海市,1838,1
上海市,上海市,1839,3
上海市,上海市,1841,3
上海市,上海市,1844,4
上海市,上海市,1847,3
上海市,上海市,1848,5
上海市,上海市,1854,2
上海市,上海市,1857,1
上海市,上海市,1858,1
上海市,上海市,1859,2
上海市,上海市,1860,1
上海市,上海市,1861,2
上海市,上海市,1862,2
上海市,上海市,1864,3
上海市,上海市,1865,1
上海市,上海市,1866,2
上海市,上海市,1867,3
上海市,上海市,1868,1
上海市,上海市,1869,1
上海市,上海市,1870,3
上海市,上海市,1871,2
上海市,上海市,1873,1
上海市,上海市,1874,2
上海市,上海市,1875,1
上海市,上海市,1877,2
上海市,上海市,1878,5
上海市,上海市,1879,3
上海市,上海市,1880,5
上海市,上海市,1881,4
上海市,上海市,1883,1
上海市,上海市,1884,3
上海市,上海市,1886,2
上海市,上海市,1887,3
上海市,上海市,1888,2
上海市,上海市,1889,1
上海市,上海市,1890,4
上海市,上海市,1891,6
上海市,上海市,1892,2
上海市,上海市,1893,6
上海市,上海市,1894,1
上海市,上海市,1895,2
上海市,上海市,1896,2
上海市,上海市,1897,3
上海市,上海市,1898,8
上海市,上海市,1899,8
上海市,上海市,1900,2
上海市,上海市,1901,1
上海市,上海市,1902,1
上海市,上海市,1903,3
上海市,上海市,1906,1
上海市,上海市,1907,1
上海市,上海市,1908,1
上海市,上海市,1909,4
上海市,上海市,1910,1
上海市,上海市,1911,4
上海市,上海市,1912,5
上海市,上海市,1913,6
上海市,上海市,1914,6
上海市,上海市,1915,3
上海市,上海市,1916,4
上海市,上海市,1917,6
上海市,上海市,1918,4
上海市,上海市,1919,5
上海市,上海市,1920,2
上海市,上海市,1921,3
上海市,上海市,1922,1
上海市,上海市,1923,2
上海市,上海市,1924,8
上海市,上海市,1925,11
上海市,上海市,1926,5
上海市,上海市,1927,5
上海市,上海市,1928,5
上海市,上海市,1929,4
上海市,上海市,1930,13
上海市,上海市,1931,7
上海市,上海市,1932,2
上海市,上海市,1933,4
上海市,上海市,1934,10
上海市,上海市,1935,8
上海市,上海市,1936,5
上海市,上海市,1937,2
上海市,上海市,1939,3
上海市,上海市,1940,8
上海市,上海市,1941,2
上海市,上海市,1942,4
上海市,上海市,1943,2
上海市,上海市,1944,3
上海市,上海市,1945,2
上海市,上海市,1946,1
上海市,上海市,1948,5
上海市,上海市,1949,1
上海市,上海市,1950,1
上海市,上海市,1954,1
上海市,上海市,1955,1
上海市,上海市,1958,1
上海市,上海市,1963,1
上海市,上海市,1969,1
上海市,上海市,1982,1
上海市,上海市,1983,1
上海市,上海市,1988,3
上海市,上海市,1989,1
上海市,上海市,1990,1
上海市,上海市,1992,2
上海市,上海市,1994,1
上海市,上海市,1995,1
上海市,上海市,1997,2
上海市,上海市,1998,2
上海市,上海市,1999,4
上海市,上海市,2000,3
上海市,上海市,2001,3
上海市,上海市,2002,5
上海市,上海市,2003,5
上海市,上海市,2004,7
上海市,上海市,2005,7
上海市,上海市,2006,7
上海市,上海市,2007,7
上海市,上海市,2008,7
上海市,上海市,2009,4
上海市,上海市,2010,7
上海市,上海市,2011,7
上海市,上海市,2012,10
上海市,上海市,2013,5
上海市,上海市,2014,3
上海市,上海市,2015,8
上海市,上海市,2016,5
上海市,上海市,2017,5
上海市,上海市,2018,10
上海市,上海市,2019,2
上海市,上海市,2020,2
上海市,上海市,2021,2
上海市,上海市,2022,1
上海市,上海市,2023,5
云南省,临沧市,1990,1
云南省,临沧市,2000,1
云南省,临沧市,2003,1
云南省,临沧市,2005,1
云南省,临沧市,2006,1
云南省,临沧市,2007,3
云南省,临沧市,2008,1
云南省,临沧市,2011,1
云南省,临沧市,2012,1
云南省,临沧市,2013,1
云南省,临沧市,2015,1
云南省,临沧市,2016,1
云南省,临沧市,2017,1
云南省,临沧市,2018,1
云南省,临沧市,2020,1
云南省,临沧市,2021,1
云南省,临沧市,2022,2
云南省,丽江市,--,1
云南省,丽江市,1840,1
云南省,丽江市,1863,1
云南省,丽江市,1923,1
云南省,丽江市,2007,3
云南省,丽江市,2008,1
云南省,丽江市,2009,1
云南省,丽江市,2011,1
云南省,丽江市,2013,1
云南省,丽江市,2014,1
云南省,保山市,--,8
云南省,保山市,1813,1
云南省,保山市,1846,2
云南省,保山市,1906,1
云南省,保山市,1913,1
云南省,保山市,1915,1
云南省,保山市,1917,1
云南省,保山市,1920,1
云南省,保山市,1924,2
