关键词,名称,纬度,经度,地址,省份,城市,区县
祠堂,周氏祠堂,27.26295,120.491672,温州市苍南县龙魁线与中魁村富康路交叉路口往东约110米,浙江省,温州市,苍南县
祠堂,双鹤村林氏祠堂,27.488534,120.4477,浙江省温州市苍南县,浙江省,温州市,苍南县
祠堂,祠堂边,27.534254,120.456263,浙江省温州市苍南县灵溪镇,浙江省,温州市,苍南县
祠堂,苍南县宜山镇张家埭张氏祠堂,27.520371,120.542244,温州市苍南县新桥街华盛花苑西南侧约170米,浙江省,温州市,苍南县
宗祠,戴氏宗祠,27.517096,120.56221,温州市苍南县,浙江省,温州市,苍南县
宗祠,周氏宗祠,27.519848,120.539485,温州市苍南县环城西路宜山镇环球幼儿园(环球西路)西南侧约290米,浙江省,温州市,苍南县
宗祠,吴氏宗祠,27.218337,120.479195,浙江省温州市苍南县S232,浙江省,温州市,苍南县
宗祠,易氏宗祠,27.538683,120.47246,浙江省温州市苍南县上灵线,浙江省,温州市,苍南县
宗祠,黄氏宗祠,27.495137,120.576777,温州市苍南县货运街(钱库第三小学南侧约50米),浙江省,温州市,苍南县
宗祠,北岙李氏宗祠,27.495048,120.518729,温州市苍南县望里镇合作幼儿园西侧约220米,浙江省,温州市,苍南县
宗祠,金氏宗祠,27.488742,120.582506,温州市苍南县钱库镇振兴西街18-20号,浙江省,温州市,苍南县
宗祠,刘氏宗祠,27.487675,120.526914,浙江省温州市苍南县瓦海线,浙江省,温州市,苍南县
宗祠,黄氏宗祠,27.558461,120.435879,浙江省温州市苍南县龙庆北路,浙江省,温州市,苍南县
宗祠,王氏宗祠(韩桥北街店),27.507046,120.391916,温州市苍南县河边路(苍南汽车西站东北侧约200米),浙江省,温州市,苍南县
宗祠,章氏宗祠,27.478978,120.589369,浙江省温州市苍南县章均路,浙江省,温州市,苍南县
宗祠,温氏宗祠,27.551162,120.412283,温州市苍南县灵溪镇温氏宗祠,浙江省,温州市,苍南县
宗祠,蔡氏宗祠,27.48843,120.437114,灵炎线西50米,浙江省,温州市,苍南县
宗祠,冯氏宗祠,27.458967,120.602672,温州市苍南县G228与龙金大道交叉路口往东南约100米,浙江省,温州市,苍南县
宗祠,彭氏宗祠,27.496654,120.532353,浙江省温州市苍南县瓦海线,浙江省,温州市,苍南县
宗祠,虞氏宗祠,27.401845,120.587666,浙江省温州市苍南县大岙村山上,浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.482091,120.483349,浙江省温州市苍南县灵炎线,浙江省,温州市,苍南县
宗祠,韩氏宗祠,27.510224,120.547859,温州市苍南县人民路与通兴路交叉路口北侧(芙蓉锦园东南侧约50米),浙江省,温州市,苍南县
宗祠,卢氏宗祠,27.469389,120.443816,浙江省温州市苍南县藻溪镇灵炎线下山虎村村民委员会东,浙江省,温州市,苍南县
宗祠,曾氏宗祠,27.489148,120.419033,温州市苍南县城中南路173号,浙江省,温州市,苍南县
宗祠,黄氏宗祠(腾垟乡卫生院北),27.527344,120.25292,浙江省温州市苍南县黄氏宗祠(闹仓线西),浙江省,温州市,苍南县
宗祠,洪氏宗祠,27.412143,120.374745,浙江省温州市苍南县育英路71号,浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.505,120.576352,浙江省温州市苍南县钱仙线三港庙附近,浙江省,温州市,苍南县
宗祠,洪氏宗祠,27.527558,120.3936,温州市苍南县灵内线(凤池学校西侧约150米),浙江省,温州市,苍南县
宗祠,黄氏宗祠(苍南县劳动和社会保障局金乡管理所南),27.437494,120.626487,浙江省温州市苍南县金乡镇坤桥路45号,浙江省,温州市,苍南县
宗祠,赖氏宗祠,27.51211,120.463198,浙江省温州市苍南县,浙江省,温州市,苍南县
宗祠,吴氏宗祠,27.46999,120.591316,浙江省温州市苍南县龙金大道,浙江省,温州市,苍南县
宗祠,董氏宗祠,27.447721,120.37987,浙江省温州市苍南县六板桥村白雁路2号,浙江省,温州市,苍南县
宗祠,殷氏宗祠,27.440915,120.611402,温州市苍南县吴衙街金乡卫古城历史文化街区,浙江省,温州市,苍南县
宗祠,前堡村蔡氏宗祠,27.443862,120.633133,浙江省温州市苍南县前堡路与张良山路交叉路口往南约240米,浙江省,温州市,苍南县
宗祠,陈氏宗祠,27.463074,120.647163,浙江省温州市苍南县灵炎线,浙江省,温州市,苍南县
宗祠,郑氏宗祠,27.340261,120.410214,温州市苍南县矾山镇福德湾村福德湾景区,浙江省,温州市,苍南县
宗祠,金氏宗祠,27.481496,120.580963,温州市苍南县金山路与金鑫西路交叉路口往北约50米(东金花苑西南侧约50米),浙江省,温州市,苍南县
宗祠,浙江省苍南县钱库镇上官宗祠,27.463053,120.59327,浙江省温州市苍南县钱库镇钱库互通,浙江省,温州市,苍南县
宗祠,林氏宗祠,27.459119,120.637846,温州市苍南县,浙江省,温州市,苍南县
宗祠,王氏宗祠,27.243286,120.455138,温州市苍南县马沙线蒲壮所城,浙江省,温州市,苍南县
宗祠,余氏宗祠(张良山路店),27.443779,120.633373,温州市苍南县金乡镇前保村兴平路59号,浙江省,温州市,苍南县
宗祠,吴氏宗祠,27.532339,120.404623,温州市苍南县G15沈海高速,浙江省,温州市,苍南县
宗祠,藻溪镇章氏宗祠,27.486873,120.469083,浙江省温州市苍南县灵沙公路,浙江省,温州市,苍南县
