谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清咸豐七年（1857）,--,興祖直皇帝福滿位下第一子德世庫子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wvpnr5w1tlqj2ziw
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清光緒二十三年（1897）,--,興祖直皇帝福滿位下第五子包朗阿、第六子寶實宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/z3vz37k5zyi3rtme
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆三十一年（1766）,--,景祖翼皇帝覺昌安位下第一子禮敦巴圖魯、第五子塔察篇古宗支册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/tvay9z4pnwfyvzwf
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆二十一年（1756）,--,興祖直皇帝福滿位下第三子索長阿宗支男册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vhc6vkwjov8ds4jw
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清道光十七年（1837）,--,興祖直皇帝福滿位下第三子索長阿、第四子覺昌安宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/zlp8q3hmggedp2is
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清光緒三年（1877）,--,興祖直皇帝福滿位下第五子包朗阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/yfok289gkgvizvdo
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆五十一年（1786）,--,興祖直皇帝福滿位下第二子劉闡、第三子索長阿子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wtmerf9uq4plgyo2
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清光緒三十三年（1907）,--,興祖直皇帝福滿位下第五子包朗阿、第六子寶實男女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/x4qzrwhi2x9248hu
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆三十一年（1766）,--,興祖直皇帝福滿位下第五子包朗阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/9qwsys9pbr2mwn7z
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆三十一年（1766）,--,景祖翼皇帝覺昌安位下第一子禮敦巴圖魯宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/sn3hawoeyyktzz9d
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清光緒二十三年（1897）,--,興祖直皇帝福滿位下第一子德世庫、第二子劉闡宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/36x2obx6esdral2v
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正十一年（1733）,--,興祖直皇帝福滿位下第二子劉闡、第三子索長阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6rnlademue7dllfe
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清嘉慶元年（1796）,--,興祖直皇帝福滿位下第三子索長阿宗支男女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/c9cpui3go4m8i57a
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正十一年（1733）,--,興祖直皇帝福滿位下第五子包朗阿宗支女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/om8w7vdthyoe4aar
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清道光二十七年（1847）,--,興祖直皇帝福滿位下第一子德世庫子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s46j88wr9nm3siqr
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正二年（1724）,--,興祖直皇帝福滿位下第一子德世庫、第三子索長阿、第五子包朗阿、第六子寶實宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/sw3dvzc3i9ay7bux
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清,--,興祖直皇帝福滿位下第五子包朗阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/u2iie1r9l2zrdr83
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清道光十七年（1837）,--,興祖直皇帝福滿位下第二子劉闡、第三子索長阿男女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/f6nf3ggu73jx8b2f
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆十一年（1746）,--,興祖直皇帝福滿位下第一子德世庫、第二子劉闡宗支男册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/fzbbcyuvvitlc68z
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清道光七年（1827）,--,興祖直皇帝福滿位下第二子劉闡、第三子索長阿男女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gey4elayywu79ee7
