谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正二年（1724）,--,興祖直皇帝福滿位下第三子索長阿宗支册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hdaucfjb1kkfteod
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清康熙四十五年（1706）,--,興祖直皇帝福滿位下第五子包朗阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/icee2e2ykwwlhoy6
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正十一年（1733）,--,興祖直皇帝福滿位下第一子德世庫子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/iheyc54l5b4vyurn
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆三十一年（1766）,--,興祖直皇帝福滿位下第五子包朗阿子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/iyrmba1yoanxereq
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正二年（1724）,--,興祖直皇帝福滿位下第一子德世庫子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jlou42tq8fzgvy47
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清康熙四十五年（1706）,--,興祖直皇帝福滿位下第二子劉闡、第三子索長阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jsp4bqjszxo115dg
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆七年（1742）,--,興祖直皇帝福滿位下第三子索長阿宗支男册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jtybh25bnb2ketvx
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清,--,興祖直皇帝福滿位下第五子包朗阿、第六子寶實宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/mnmifprh2tcwkauz
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清嘉慶二十二年（1817）,--,興祖直皇帝福滿位下第五子包朗阿宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/mn9cnxpyfiwswwsl
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正十一年（1733）,--,興祖直皇帝福滿位下第三子索長阿子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/nwo2kyxebkljsnk5
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆五十一年（1786）,--,景祖翼皇帝覺昌安位下第一子禮敦巴圖魯、第五子塔察篇古宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/qx2idggbog3x6y9f
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆五十一年（1786）,--,興祖直皇帝福滿位下第三子索長阿子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/t8p28qr9rd8eg2bq
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清康熙三十六年（1697）,--,興祖直皇帝福滿位下第一子德世庫宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/txqzrh4wnic114er
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清嘉慶元年（1796）,--,興祖直皇帝福滿位下第一子德世庫宗支男女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/gnw5yxs2ipvsg9iw
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆三十一年（1766）,--,景祖翼皇帝覺昌安位下第一子禮敦巴圖魯、第五子塔察篇古子女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ilmahpu43tkt8fgh
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清嘉慶十一年（1806）,--,興祖直皇帝福滿位下第五子包朗阿、第六子寶實宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jbx6mfqkkhmxwuuv
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆二十一年（1756）,--,興祖直皇帝福滿位下第一子德世庫、第二子劉闡宗支女册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jih8ionrgm3y1ndf
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清雍正二年（1724）,--,興祖直皇帝福滿位下第二子劉闡宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/kf6dsgu6njbfupt5
玉牒觉罗（大）不分卷,宗人府玉牒馆,爱新觉罗,清乾隆七年（1742）,--,興祖直皇帝福滿位下第六子寶實宗支男册。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/m68vng5aqyzflvlw
