谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
南岭邓氏族谱（广东省/江门市/新会区）,邓忠兴,邓,2015,--,始祖焘（字经源），宋代人，民籍南京人。二世祖林乔（字玉卿，号清江），宋朝进士，因谏言忤，贬谪遣送广东南雄，携子英（字杰夫，号带湖），寓居南雄。四世祖荣（字光裕，号仁叟），带湖次子，宋代人，爰居中乐都四图五甲新昌乡（今江门市蓬江区棠下镇新昌村），八世祖康宁，迁南岭（今江门市新会区双水镇南岭村），为南岭邓族所奉之始祖也。 谱载南雄珠玑巷南迁邓氏南岭族谱考订、序、南岭邓氏族谱世系、后记、忠德公手稿、南岭邓氏宗祠重修石碑文注释、新昌邓氏族谱（部分）。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/mvkddbtavwwukiqv
南岭粉溪刘氏重修族谱（江西省/吉安市/吉水县）,刘文辅,刘,2016,--,始迁祖珍，从江西宜春袁州小白芒（今分宜县岭山村）迁吉水县枫江镇南岭村。 谱载重修支谱缘由、世系、重修族谱前言、修谱相关资料、族史、世系传衍示图、宗族世序传衍录、附录。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/4vslfijgxadfxr5k
南岭徐氏重修宗谱四卷(江西广丰),徐发秀,徐,清同治10年(1871),--,參見清徐兆琨修《[江西廣豐]重修東海世郡南嶺徐氏宗譜》條目（館藏：1061166-1167）。始遷祖宗璉（字雲程，行昭五），宋末遷居永豐（今廣豐）之北二十里南嶺。卷一序、凡例、家訓、行狀、誥敕、郡志遺文、跋，卷二序、行畧、領譜字號、題名錄、派行、祀田記、像圖、祠堂圖、陽基圖、墓圖、拍字、悔控字、議約、合同字，卷三至四世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/we5u2a0odn1wohrd
南岭徐氏重修宗谱六卷(江西广丰),佚名,徐,清光緒33年(1907),--,參見清徐兆琨修《[江西廣豐]重修東海世郡南嶺徐氏宗譜》條目（館藏：1061166-1167）。始遷祖宗璉（字雲程，行昭五），宋末遷居永豐（今廣豐）之北二十里南嶺。卷一領譜字號、序、凡例、家訓、行狀、誥敕、郡志遺文、跋，卷二序、行畧、領譜字號、題名錄、派行、祀田記、祀山記，卷三（闕）像圖、祠堂圖、陽基圖、墓圖、拍字、悔控字、議約、合同字，卷四至六世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/3shx0pi6azxlod5y
南岭刘氏族谱（山东省/青岛市/即墨区）,等;刘新文,刘,2020,--,始迁祖源，明永乐五年由山西洪洞迁居山东即墨虎山西麓，名曰南岭村。 卷一序、命名定式、世系，卷二至六世系，又一卷命名定式、世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/u7931zbucdo8syg8
南岙金氏房谱不分卷（浙江省温州市永嘉县）,金煜星,金,1941年抄本,--,始祖寶，世居閩之長溪柘垟，後唐清泰元年爲避亂遷永嘉欓溪西巷里。明人東淘爲南嶴始祖。譜載譜序、家規、祖訓、古蹟、行狀、源流、行第等。書名據版心題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/biwk4wuq4puz4g83
南岙王氏总谱（浙江省/绍兴市/嵊州市）,王潮梅,王,2014,余庆堂,始迁祖煤（字应希，行百六），北宋时自嵊州长潭上金畈迁居南岙村。 卷首谱序、祖像、源流、字辈、村落、名胜、文化、人物、规训、文萃、地理图、附录，卷二至七世系图及行传，附卷为南岙王氏总谱王城及南樗口世系谱。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6m3p7zf1zfi675mr
南岗涂氏三修支谱（江西省宜春市奉新县）,不详,涂,清道光间,滋大堂,始祖近正，字元直，号明倫居士，南宋人。始迁祖以文，南宋时徙南崗。存卷载二十二、二十三世世系。存卷五。书名据版心题。记事至清道光二十三年。三修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wro35iu4bifl2b3d
南岗村陈氏族谱（广东省/佛山市/三水区）,陈学添,陈,2018,--,开村始祖应潮，祖籍广东省清远县石角田心石桥村（今社岗村），明永乐年间携妻儿南下至南岗开基立业，经二十几代人六百多年繁衍传世至今。 谱载南岗村概况、南岗陈氏人物、南岗村规划等内容，以及南岗村宗支世序表、南岗村宗支世序表五甲房、六甲房表等内容，记载了南岗村陈氏从一世至二十四世的情况。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vlpq3zzaa2egj7y4
南岗村志暨家谱（山西省/长治市/屯留区）,赵文范,赵,2013,--,此为山西省屯留县南岗村志，兼记该村各姓世系。谱称赵姓先祖约于明代后期经山西洪洞大槐树迁屯留积石村。其子云、雨复携家移居积石村东南方向，创立南岗村（亦称凤岗村），后裔繁衍，分衍众支，为今南岗村人口之绝大多数。后亦有王、宋、张、吴、樊五姓于近现代相继迁入。 谱分七章：章一建置，章二自然概貌，章三人口，章四政治，章五经济，章六家族沿革，章七征文。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/eiutyboyloxm6j4c
