省,年份,家谱数量
上海市,1690,1
上海市,1707,1
上海市,1719,1
上海市,1720,1
上海市,1735,1
上海市,1760,1
上海市,1761,1
上海市,1765,1
上海市,1766,1
上海市,1769,1
上海市,1775,1
上海市,1776,1
上海市,1783,1
上海市,1784,1
上海市,1790,1
上海市,1791,2
上海市,1797,3
上海市,1798,1
上海市,1799,3
上海市,1801,2
上海市,1806,2
上海市,1809,6
上海市,1811,1
上海市,1812,1
上海市,1816,1
上海市,1819,1
上海市,1823,1
上海市,1825,2
上海市,1826,1
上海市,1827,1
上海市,1828,1
上海市,1829,1
上海市,1831,1
上海市,1832,1
上海市,1833,1
上海市,1836,1
上海市,1837,1
上海市,1838,1
上海市,1839,1
上海市,1841,3
上海市,1844,3
上海市,1847,3
上海市,1848,3
上海市,1854,2
上海市,1857,1
上海市,1858,1
上海市,1862,1
上海市,1864,3
上海市,1865,1
上海市,1866,2
上海市,1867,2
上海市,1868,1
上海市,1869,1
上海市,1870,3
上海市,1871,2
上海市,1873,1
上海市,1874,2
上海市,1875,1
上海市,1877,2
上海市,1878,3
上海市,1879,2
上海市,1880,1
上海市,1881,4
上海市,1883,1
上海市,1884,2
上海市,1886,2
上海市,1887,3
上海市,1888,2
上海市,1889,1
上海市,1890,4
上海市,1891,2
上海市,1892,1
上海市,1893,4
上海市,1894,1
上海市,1895,1
上海市,1896,2
上海市,1897,1
上海市,1898,5
上海市,1899,3
上海市,1900,2
上海市,1901,1
上海市,1902,1
上海市,1903,1
上海市,1906,1
上海市,1907,1
上海市,1908,1
上海市,1909,4
上海市,1910,1
上海市,1911,2
上海市,1912,3
上海市,1913,4
上海市,1914,3
上海市,1915,3
上海市,1916,2
上海市,1917,4
上海市,1918,3
上海市,1919,1
上海市,1920,2
上海市,1921,3
上海市,1922,1
上海市,1923,1
上海市,1924,5
上海市,1925,7
上海市,1926,3
上海市,1927,1
上海市,1929,4
上海市,1930,7
上海市,1931,4
上海市,1933,3
上海市,1934,3
上海市,1935,3
上海市,1936,3
上海市,1937,1
上海市,1939,3
上海市,1940,2
上海市,1941,1
上海市,1942,3
上海市,1943,2
上海市,1944,2
上海市,1948,3
上海市,1949,1
上海市,1950,1
上海市,1963,1
上海市,1969,1
上海市,1983,1
上海市,1988,2
上海市,1989,1
上海市,1992,1
上海市,1995,1
上海市,1997,2
上海市,1998,2
上海市,1999,2
上海市,2000,2
上海市,2001,1
上海市,2002,2
上海市,2003,3
上海市,2004,4
上海市,2005,2
上海市,2006,4
上海市,2007,4
上海市,2008,3
上海市,2009,1
上海市,2010,5
上海市,2011,6
上海市,2012,7
上海市,2013,3
上海市,2014,3
上海市,2015,5
上海市,2016,3
上海市,2017,2
上海市,2018,2
上海市,2019,1
上海市,2020,1
上海市,2021,2
上海市,2022,1
上海市,2023,4
云南,1844,1
云南,1846,2
云南,1853,1
云南,1906,2
云南,1913,1
云南,1914,1
云南,1915,1
云南,1917,1
云南,1920,1
云南,1924,2
云南,1925,1
云南,1928,2
云南,1929,1
云南,1930,3
云南,1932,1
云南,1934,1
云南,1936,2
云南,1937,3
云南,1938,2
云南,1939,1
云南,1940,1
云南,1941,1
云南,1942,1
云南,1943,2
云南,1947,1
云南,1949,2
云南,1958,2
云南,1977,1
云南,1985,1
云南,1986,3
云南,1987,2
云南,1989,2
云南,1990,6
云南,1993,4
云南,1994,5
云南,1995,10
云南,1996,6
云南,1997,8
云南,1998,6
云南,1999,11
云南,2000,4
云南,2001,7
云南,2002,3
云南,2003,9
云南,2004,13
云南,2005,13
云南,2006,5
云南,2007,8
云南,2008,16
云南,2009,13
云南,2010,13
云南,2011,19
云南,2012,11
云南,2013,21
云南,2014,17
云南,2015,19
云南,2016,23
云南,2017,28
云南,2018,24
云南,2019,21
云南,2020,15
云南,2021,7
云南,2022,6
云南,2023,1
内蒙古自治区,1999,1
内蒙古自治区,2000,1
内蒙古自治区,2005,2
