省,市,县,年份,家谱数量
上海,市,南汇区,1735,1
上海,市,南汇区,1838,1
上海,市,南汇区,1878,1
上海,市,南汇区,1890,1
上海,市,南汇区,1911,1
上海,市,南汇区,1913,3
上海,市,南汇区,1919,1
上海,市,南汇区,1921,2
上海,市,南汇区,1922,1
上海,市,南汇区,1924,2
上海,市,南汇区,1925,4
上海,市,南汇区,1929,1
上海,市,南汇区,1931,2
上海,市,南汇区,1933,1
上海,市,南汇区,1937,1
上海,市,南汇区,1939,1
上海,市,南汇区,1948,1
上海,市,嘉定区,1720,1
上海,市,嘉定区,1776,1
上海,市,嘉定区,1790,1
上海,市,嘉定区,1831,1
上海,市,嘉定区,1854,1
上海,市,嘉定区,1864,1
上海,市,嘉定区,1869,1
上海,市,嘉定区,1870,1
上海,市,嘉定区,1886,1
上海,市,嘉定区,1899,1
上海,市,嘉定区,1901,1
上海,市,嘉定区,1902,1
上海,市,嘉定区,1915,2
上海,市,嘉定区,1920,1
上海,市,嘉定区,1925,2
上海,市,嘉定区,1926,1
上海,市,嘉定区,1930,1
上海,市,嘉定区,1933,1
上海,市,嘉定区,1934,1
上海,市,嘉定区,1940,1
上海,市,嘉定区,1942,1
上海,市,嘉定区,1948,1
上海,市,嘉定区,1950,1
上海,市,嘉定区,1995,1
上海,市,嘉定区,2004,1
上海,市,奉贤区,1801,1
上海,市,奉贤区,1877,1
上海,市,奉贤区,1892,1
上海,市,奉贤区,1900,1
上海,市,奉贤区,1917,1
上海,市,奉贤区,2000,1
上海,市,奉贤区,2003,1
上海,市,宝山区,1896,1
上海,市,宝山区,1898,2
上海,市,宝山区,1908,1
上海,市,宝山区,1918,2
上海,市,宝山区,1929,1
上海,市,宝山区,1930,1
上海,市,宝山区,1934,1
上海,市,宝山区,1936,1
上海,市,宝山区,1944,1
上海,市,宝山区,1949,1
上海,市,崇明县,1760,1
上海,市,崇明县,1766,1
上海,市,崇明县,1769,1
上海,市,崇明县,1775,1
上海,市,崇明县,1797,3
上海,市,崇明县,1798,1
上海,市,崇明县,1799,2
上海,市,崇明县,1806,2
上海,市,崇明县,1809,5
上海,市,崇明县,1816,1
上海,市,崇明县,1825,1
上海,市,崇明县,1826,1
上海,市,崇明县,1828,1
上海,市,崇明县,1833,1
上海,市,崇明县,1836,1
上海,市,崇明县,1837,1
上海,市,崇明县,1841,1
上海,市,崇明县,1844,3
上海,市,崇明县,1847,1
上海,市,崇明县,1848,2
上海,市,崇明县,1854,1
上海,市,崇明县,1864,2
上海,市,崇明县,1865,1
上海,市,崇明县,1866,1
上海,市,崇明县,1867,2
上海,市,崇明县,1868,1
上海,市,崇明县,1870,2
上海,市,崇明县,1871,1
上海,市,崇明县,1875,1
上海,市,崇明县,1877,1
上海,市,崇明县,1878,2
上海,市,崇明县,1880,1
上海,市,崇明县,1881,3
上海,市,崇明县,1884,2
上海,市,崇明县,1886,1
上海,市,崇明县,1887,1
上海,市,崇明县,1888,1
上海,市,崇明县,1889,1
上海,市,崇明县,1891,2
上海,市,崇明县,1893,2
上海,市,崇明县,1895,1
上海,市,崇明县,1897,1
上海,市,崇明县,1898,3
上海,市,崇明县,1899,2
上海,市,崇明县,1900,1
上海,市,崇明县,1903,1
上海,市,崇明县,1907,1
上海,市,崇明县,1909,4
上海,市,崇明县,1911,1
上海,市,崇明县,1912,1
上海,市,崇明县,1913,1
上海,市,崇明县,1914,2
上海,市,崇明县,1915,1
上海,市,崇明县,1917,1
上海,市,崇明县,1918,1
上海,市,崇明县,1921,1
上海,市,崇明县,1924,1
上海,市,崇明县,1927,1
上海,市,崇明县,1929,1
上海,市,崇明县,1930,3
上海,市,崇明县,1933,1
上海,市,崇明县,1935,1
上海,市,崇明县,1941,1
上海,市,崇明县,1944,1
上海,市,松江区,1707,1
上海,市,松江区,1719,1
上海,市,松江区,1765,1
上海,市,松江区,1783,1
上海,市,松江区,1784,1
上海,市,松江区,1791,2
上海,市,松江区,1801,1
上海,市,松江区,1809,1
上海,市,松江区,1811,1
上海,市,松江区,1812,1
上海,市,松江区,1819,1
上海,市,松江区,1825,1
上海,市,松江区,1827,1
上海,市,松江区,1829,1
上海,市,松江区,1832,1
上海,市,松江区,1839,1
上海,市,松江区,1841,1
上海,市,松江区,1847,1
上海,市,松江区,1848,1
上海,市,松江区,1857,1
上海,市,松江区,1862,1
上海,市,松江区,1866,1
上海,市,松江区,1871,1
上海,市,松江区,1873,1
上海,市,松江区,1874,2
上海,市,松江区,1881,1
上海,市,松江区,1883,1
上海,市,松江区,1887,1
上海,市,松江区,1888,1
上海,市,松江区,1893,1
上海,市,松江区,1894,1
上海,市,松江区,1896,1
上海,市,松江区,1917,2
上海,市,松江区,1920,1
上海,市,松江区,1924,1
上海,市,松江区,1926,1
上海,市,松江区,1929,1
上海,市,松江区,1935,1
上海,市,松江区,1936,1
上海,市,松江区,1939,1
上海,市,松江区,1942,1
上海,市,松江区,1998,1
上海,上海市,浦东新区,1690,1
上海,市,浦东新区,1761,1
上海,市,浦东新区,1879,1
上海,市,浦东新区,1930,2
上海,市,浦东新区,1942,1
上海,市,浦东新区,2002,1
上海,市,浦东新区,2003,1
上海,市,浦东新区,2004,1
上海,市,浦东新区,2011,1
上海,市,金山区,1799,1
上海,市,金山区,1823,1
上海,市,金山区,1879,1
上海,市,金山区,1890,1
上海,市,金山区,1910,1
上海,市,金山区,1912,1
上海,市,金山区,1916,1
上海,市,金山区,1925,1
上海,市,金山区,1934,1
上海,市,金山区,1940,1
上海,市,金山区,1948,1
上海,市,金山区,2004,1
上海,市,闵行区,1858,1
上海,市,闵行区,1924,1
上海,市,闵行区,1983,1
上海,市,青浦区,1841,1
上海,市,青浦区,1887,1
上海,市,青浦区,1890,2
上海,市,青浦区,1893,1
上海,市,青浦区,1906,1
上海,市,青浦区,1912,1
上海,市,青浦区,1914,1
上海,市,青浦区,1916,1
上海,市,青浦区,1923,1
上海,市,青浦区,1926,1
上海,市,青浦区,1931,2
上海,市,青浦区,1935,1
上海,市,青浦区,1936,1
上海,市,青浦区,1939,1
上海,市,青浦区,1943,2
上海,市,青浦区,1999,1
上海市,上海市,南汇区,2016,1
上海市,上海市,南汇区,2019,1
上海市,上海市,嘉定区,1963,1
上海市,上海市,嘉定区,1988,1
上海市,上海市,嘉定区,2000,1
上海市,上海市,嘉定区,2001,1
上海市,上海市,嘉定区,2006,1
上海市,上海市,嘉定区,2008,1
上海市,上海市,嘉定区,2010,1
上海市,上海市,嘉定区,2020,1
上海市,上海市,奉贤区,1998,1
上海市,上海市,奉贤区,2006,1
上海市,上海市,奉贤区,2008,1
上海市,上海市,奉贤区,2012,1
上海市,上海市,奉贤区,2014,1
上海市,上海市,奉贤区,2018,1
上海市,上海市,宝山区,2012,1
上海市,上海市,崇明区,1847,1
上海市,上海市,崇明区,2007,1
上海市,上海市,崇明区,2009,1
上海市,上海市,崇明区,2010,1
上海市,上海市,崇明区,2011,1
上海市,上海市,崇明区,2012,2
上海市,上海市,崇明区,2014,1
上海市,上海市,崇明区,2015,3
上海市,上海市,崇明区,2016,1
上海市,上海市,崇明区,2017,1
上海市,上海市,崇明区,2021,1
上海市,上海市,崇明区,2023,1
上海市,上海市,杨浦区,2011,1
上海市,上海市,松江区,2008,1
上海市,上海市,松江区,2011,1
上海市,上海市,松江区,2013,1
上海市,上海市,松江区,2023,1
上海市,上海市,浦东新区,1969,1
上海市,上海市,浦东新区,1988,1
上海市,上海市,浦东新区,1989,1
上海市,上海市,浦东新区,1997,2
上海市,上海市,浦东新区,2002,1
上海市,上海市,浦东新区,2003,1
上海市,上海市,浦东新区,2004,1
上海市,上海市,浦东新区,2005,2
上海市,上海市,浦东新区,2006,1
上海市,上海市,浦东新区,2007,2
上海市,上海市,浦东新区,2010,1
上海市,上海市,浦东新区,2011,1
上海市,上海市,浦东新区,2012,2
上海市,上海市,浦东新区,2013,1
上海市,上海市,浦东新区,2015,2
上海市,上海市,浦东新区,2016,1
上海市,上海市,浦东新区,2017,1
上海市,上海市,浦东新区,2021,1
上海市,上海市,浦东新区,2022,1
上海市,上海市,浦东新区,2023,1
上海市,上海市,金山区,2007,1
上海市,上海市,金山区,2012,1
上海市,上海市,金山区,2023,1
上海市,上海市,闵行区,1999,1
上海市,上海市,闵行区,2010,2
上海市,上海市,闵行区,2011,1
上海市,上海市,闵行区,2018,1
上海市,上海市,青浦区,1992,1
上海市,上海市,青浦区,2013,1
上海市,上海市,青浦区,2014,1
