谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
谢氏族谱（重庆市/重庆市/开州区）,佚名,谢,2011,--,始迁祖谢相照，从湖北迁到四川，又迁开县（今重庆市开州区），迁徙时间不详。 谱载序言、字辈、世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/uvdnvkv333r31mam
谢氏族谱（重庆市/重庆市/开州区）,谢郊平,谢,2010,--,本谱奉谢仕兴为始祖，其后裔居住重庆开州区。 谱载世系图。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/46lw5i2ulfgof922
谢氏族谱（重庆市/重庆市/大足区）,谢启才,谢,2010,宝树堂,1712年，谢显昌携家人从郴州市宜昌县迁居四川府大足拾万场狮子桥（今重庆市大足区拾万镇），是为始迁祖。 谱载伟人名言、渊源、谱序、名人、老谱摘移、本族世系、编后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/tuqg3bs1319zk3e4
谢氏族谱（重庆市/重庆市/合川区）,谢合义,谢,2019,宝树堂,始祖成（又名正美，字雅正，号敌万），宋末元初居湖南益阳。九世允祥（字景贵），明中叶自湖南湘乡杉木桥迁居长沙府安化十三都白沙溪。始迁祖君龙、君虎（号威云）、君凤、君凰（号云伯），成十四世孙，清康熙三十七年自湖南安化迁四川东道重庆府合州（今合川）来苏里三甲四方坝。 谱载前言、伟人名家论谱、历代修谱先贤及本谱编委会成员、老谱摘录、重修谱序、历代谱序谱训谱派、现代分房世录、现代世系汇总图、安化谢氏家族汝嘉房介绍、考证、安化认祖归宗及清明祭祖活动纪实、谢氏文化理念、四川东道重庆府合州四方坝简介、修谱后记等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/kyp7kgen0jjzzxj5
谢氏族谱（重修本）（重庆市/重庆市/开县）,谢守康;谢守明,谢,2003,宝树堂,本族太君维恕，生于湖广衡州府清泉县集贤乡怀节里铁司灶庙门前黄毛大王牛角冲，得二子朝俊、朝龙。乾隆皇帝初（1736年左右），朝俊长子幸章、三子幸邦兄弟二人合伙入川，初落云阳路阳坝，后落开县鸡公山，数载之后幸部也至开县。朝龙次子幸岳于乾隆1736年左右，迁到开县东里下三甲。本族另一太君维惠之子朝胤入川买谢家湾土地业耕。 本谱为重修本，全谱分前言、家谱伦辈、名联集锦、格言名句、谢氏族谱重修序、谢氏来源、谢氏族谱世系源流、谢氏族谱世系源流表、功德榜、后记十个部分。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/qtpietrsi5eiemkv
谢氏族谱（台湾省）,不详,谢,1969,--,镇平白马乡始祖安崇。台湾始迁祖运珍，字朴源，清代人。族居。书名自拟。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/4cvaukz6bu6pofkf
谢氏族谱（台湾省）,不详,谢,1967,--,始祖逢春，字寿五，号九嶷，元代人。台湾始迁祖师会，清代人。族居新竹县新埔镇、高雄县美浓镇及屏东县屏东市。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s63icc7q1r4vk9sw
谢氏族谱（台湾省）,谢泉海,谢,1972,--,始迁祖新凯，明末清初人。书名据书名页题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5xcy7jfo9w3yuyhe
谢氏族谱（台湾省）,谢波龙,谢,1978,--,台湾始迁祖启发，谥朴直，清代人。族居桃园县及新竹县。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rj1udgfp4hh51wol
谢氏族谱（台湾省）,谢泉海,谢,1964,--,始迁祖新凯，明末清初人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/j38lcbkcggtdufmv
谢氏族谱（台湾省）,不详,谢,1978,--,始祖犹复。台湾始迁祖盛玉，清代人。族居苗栗县铜锣乡及花莲县吉安乡。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rga4xzqw3qgzdeb8
