谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光四年（1824）,--,高宗純皇帝弘曆位下十七支男女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jm7s3t8mwc8gvf3t
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清光緒元年（1875）,--,宣宗成皇帝旻寧位下九支親王、郡王男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/qkm2lhpgkafr52tb
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光十二年（1832）,--,仁宗睿皇帝顒琰位下親王、郡王五支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/iqqqevh68wli99e1
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清咸豐四年（1854）,--,宣宗成皇帝旻寧位下九支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/j47z92a5s3nqrfdy
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清同治元年（1862）,--,宣宗成皇帝旻寧位下九支女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/km7dpljzbsslfopt
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光二十五年（1845）,--,仁宗睿皇帝顒琰位下四支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/lxq5fpry5akwbvu2
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光元年（1821）,--,仁宗睿皇帝顒琰位下四支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/r99f6rxmrrus4b6a
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清同治二年（1863）,--,文宗顯皇帝奕詝位下宗支。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5axoowutk8jdmd7s
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清光緒三十一年（1905）,--,宣宗成皇帝旻寧位下男女册、文宗顯皇帝奕詝位下男女册。書名據套簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6dfzaddwbfwjv5yn
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清咸豐七年（1857）,--,宣宗成皇帝旻寧位下十支女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/dpeabq6p3uhfdp5e
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光十五年（1835）,--,高宗純皇帝弘曆位下親王、郡王十七支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/etlikao9yja4qgvx
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清咸豐元年（1851）,--,仁宗睿皇帝顒琰位下八支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6w818ub469aslmpb
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光,--,仁宗睿皇帝顒琰位下多羅穆郡王宗支。書名據書簽題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/eepgd6rpuh934cc4
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清同治二年（1863）,--,宣宗成皇帝旻寧位下女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vjpnd1a4n422ia77
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清咸豐七年（1857）,--,宣宗成皇帝旻寧位下九支女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/vwcn27euo8k5jps2
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清,--,書名據書衣題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/z4ugk3ws5tunx9yc
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清道光三年（1823）,--,宣宗成皇帝旻寧位下五支女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/cbitx6fewaawkv15
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清光緒三年（1877）,--,宣宗成皇帝旻寧位下女册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/cmp2ygbs76ngbxwq
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清咸豐二年（1852）,--,仁宗睿皇帝顒琰位下八支男册。書名據目录題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/drb4b9f6p73nrgmo
星源集庆不分卷,宗人府玉牒馆,爱新觉罗,清光緒五年（1879）,--,文宗顯皇帝奕詝位下一女册。書名據目录題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/fn9zzm1s1hip45zn
