谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
黄氏族谱（台湾省彰化县）,不详,黄,1983年,--,始祖深淵。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/pal5p9cigxkdc5e2
黄氏族谱（台湾省彰化县）,黄锦松,黄,1980年,--,始祖文炳。臺灣始遷祖森霖，清代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/yo3a7sy8w6bszjdt
黄氏族谱（台湾省彰化县）,--,黄,1965年,--,始祖峭號峭山，宋代人。臺灣始遷祖尚娥，清代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/93s9nvdnlvkjg4xs
黄氏族谱（台湾省屏东县）,不详,黄,1947年,--,上杭縣始祖天禄，行念一郎。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/uze15fxsxliurrnc
黄氏族谱（台湾省宜兰县）,黄旺土,黄,1929年,--,始祖九興。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/7ybqdltoc9r2rg5t
黄氏族谱（湖南省）,不详,黄,清光緒32年(1906),江夏堂,本卷爲磐石京壽派、石頭冲學孟派、向家坪啟科派等派下各支世系表。書名據版心、書簽、卷端題。記事至清咸豐間。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/kntv6qurm18qii8w
黄氏族谱（湖南省）,不详,黄,清光緒25年(1899),江夏堂,與上條所記同族。所存爲惟德支各房世系表。書名據版心題。記事至清光緒間。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rzmyifmio5fu9k91
黄氏族谱（湖南省）,逢昶,黄,清,江夏堂,存卷載演公繁房海照孝派世系表，一册載孝球子義先房，一册載孝球子義光第四子永池房。譜籍不詳。蓋居桃源縣。書名據書名頁題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/bruqcoq7z6t8p2si
黄氏族谱（湖南省）,黄少尹,黄,清,江夏堂,本卷爲磐石京壽派下各支世系表。書名據版心、卷端題。記事至清道光間。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s597qjjm8uf25zov
黄氏族谱（湖南省）,不详,黄,民國,江夏堂,存卷爲世系表。存卷七、十。書名據版心、書簽題。版心刻“仁清支”、“禮清支”、“常珍孝感支”、“代簪如漢支”等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5ffc4oeelsj8hi7l
