谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
玉牒宗室（小）第十本不分卷,宗人府玉牒馆,爱新觉罗,清,--,世祖章皇帝福臨位下第一子牛鈕、第二子福全宗支。書名據目录題。滿漢文對照。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/dd3qqv2tye2o5tqk
玉牒宗室（小）第十本不分卷,宗人府玉牒馆,爱新觉罗,清道光七年（1827）,--,太祖高皇帝努爾哈赤位下第二子代善宗支。書名據書簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/zvx78qw3ca8rhy5y
玉牒宗室（小）第十四本不分卷,宗人府玉牒馆,爱新觉罗,清道光七年（1827）,--,太祖高皇帝努爾哈赤位下第十四子多爾袞宗支。書名據書簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/l7uijozqy2og5huv
玉牒宗室（小）第十四本不分卷,宗人府玉牒馆,爱新觉罗,清,--,太祖高皇帝努爾哈赤位下第二子代善宗支。書名據書簽題。黄綾書衣。滿漢文對照。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/m7i6mygtn1a9g7u6
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清光緒間,--,太祖高皇帝努爾哈赤位下第九子巴布泰宗支。書名據書簽題。黄綾書衣。滿漢文對照。校對本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5ib5do713415ala8
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清道光七年（1827）,--,顯祖宣皇帝塔克世位下第三子舒爾哈齊宗支。殘破無封面。書名據書簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ckkflkz6yfrsbovg
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清,--,太祖高皇帝努爾哈赤第九子巴布泰宗支。書名據目录題。校對本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hvttbmcavb1csgsb
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清,--,顯祖宣皇帝塔克世位下第二子穆爾哈齊宗支。書名據書簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/1nkhepai7vswqzfe
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清嘉慶二年（1797）,--,顯祖宣皇帝塔克世位下第二子穆爾哈齊宗支。書名據書簽題。黄綾書衣。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2vuptdw6wcybxb92
玉牒宗室（小）第十六本不分卷,宗人府玉牒馆,爱新觉罗,清,--,太祖高皇帝努爾哈赤位下第七子阿巴泰宗支。書名據書簽題。黄綾書衣。滿漢文對照。正本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hxdhunlgey5cl5sm
