谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
横陇黄氏追远堂世系（广东省/汕头市/澄海区）,黄如耀,黄,2002,--,始祖全贞（行三），南宋创祖埭头（广东汕头市澄海区）。始迁祖九世孙雅士（世昌堂）、璞居（笃庆堂）、义方（彝训堂）于明末迁居凤岭乡（汕头市澄海区上华镇横陇村）。 谱载前言、横陇黄氏祖溯源及辈序考证、武状元黄仁勇、澄海获得清代举人黄蟾桂一批著作文献、世系、附凤岭黄氏宗祠有关史料等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/3nnt8jtfpe5hvx5e
横阳尉迟氏宗谱（安徽省/马鞍山市/当涂县）,尉迟厚洲,尉迟,2005,山岳堂,始迁祖演，唐咸通十二年从横山阳澄湖（今江苏省苏州市相城区）迁徙当涂县（今安徽省马鞍山市当涂县）。 卷首凡例、家训、姓氏源流、始祖碑铭、世系考、十则规条，卷一世系，卷二至八九世纪，卷十疆域、山脉、水利、古迹、祭祀、宗例、县示，卷十一传赞、祝诗，卷十二传赞、寿序，卷末诗赞、传赞、跋、行略。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/jtcsljklmw1gsp1e
横祥应氏宗谱（浙江省/金华市/永康市）,应金祥,应,2003,--,始祖德镕（字禹冶，行四十三），唐光启间自浙江台州怀仁梅村下角移居永康可投。 谱载经略、圣旨、像赞、墓图、源流通考、列传、谱序、英才录、祠规、家规、诗歌、祖训、世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/wxeqbgbouwinz3rr
横田朱氏贤公支谱十六卷首一卷(湖南邵阳),阖族,朱,民國2年(1913),叙伦堂,外紀始祖欽（字戒菴），北宋時居江西廬陵（今吉安）。內紀始祖安（字顯恭，號舒齋，行顯五），欽二十二世孫，明代自吉安遷居湖南邵陽。始遷祖祿（字永貴，行二），安曾孫，明末清初再遷邑之萬安鄉橫田里朱家嶺。本譜支祖國賢（字賢宇），祿曾孫，明末清初人。卷首凡例、宗規、源流敘、譜序、傳贊，卷一至十六世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2ctk00b3xlsbt7qn
横渎武都郡章氏六修宗谱（浙江省/温州市/苍南县）,章钦第,章,1959,--,始祖仔钧，又名修，谥忠显，字仲举，行十七，唐天祐间人。裔孙肇远，又名宏，宋代自闽赤岸迁乐清。其五世孙舜俞复迁平阳横江八丈，九世孙梦飞，字云翔，宋淳祐右科进士，自平阳县横江八丈村（今属藻溪镇）迁居本邑横渎村（今属苍南县渎浦乡）。 卷一谱序、世系图，卷二世系图、行第。书名据版心题。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/rwsw8hf4dxxh7dyz
横涧张氏族谱（山西省/忻州市/繁峙县）,张述德,张,2007,--,始迁祖英，明崇祯年间逃荒自山东即墨县来太原府代州繁峙县横涧村。 谱载凡例、溯源、大事记、环境、教育、文物、世系表、世系谱、人物传记简历、附录（抗战时期的横涧等文）。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/2g3c7bp8txvkgbho
横溪王氏重修族谱（江西省/宜春市/樟树市）,王林森,王,2017,太原堂,始迁祖克昌（字继大），北宋太祖时期从山西太原迁到渝邑横溪（今属江西省宜春市樟树市）。 卷一谱序、世系源流序、宗谱凡例、人物传、祭祖会引、横溪王氏八景、行略、寿序、孺人序、祭文、墓志铭、墓志表、节孝记、行表、传记、世系总图、在外人员名录、资助荣誉榜，卷二世系，卷三世系、祭文、跋。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/zldr2fun1u1bewfk
横溪颍川郡陈氏家乘（浙江省/温州市/泰顺县）,陈家训,陈,1981,--,始祖承炎（字启光，号辉山），清乾隆初自浙江瑞安县五云山（在今潮其乡境）迁居泰顺县油步山。始迁祖鸿元（字善长，号瑞廷），清嘉庆二十四年再徙邑之横溪村蔡洋（今属包垟乡）。 卷一序，卷二排行字，卷三受姓图系图，卷四至六源流、世系图，卷七杂录。世系载至第十九世“宗”字辈。书,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/ftwg4tirjckgkha4
横溪张氏第六次续修族谱（湖北省/宜昌市/枝江市）,张海春,张,2015,--,始迁祖必广，明代由湖北省宜昌市西陵区窑湾乡望洲村迁居宜昌市枝江市安福寺镇横溪河村。 谱载序、说明、分布图、世序表、身世谱、部分族人简介、三十辈派序、共识碑、落业始祖张必广公墓照片、宗祠记、后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/6073si3roqjoq6dd
横溪周氏族谱八卷(江西安福),周广农,周,2006年,忠孝堂,始祖矩，南唐時避亂，自金陵徙居江西泰和縣信實里，其地后名爵譽里。第七世圹，徙安福上阜。第二十世存道（行京三，號拙軒），明洪武十四年徙本縣西鄉九都橫溪，為橫溪始遷一世祖。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/u6gah17m8bviy5yk
横溪刘氏族谱（江西省/宜春市）,--,刘,1992,敦睦堂,始迁祖远，宋代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5ekvxomik5wyflkk
