谱名,责任者,姓氏,撰修时间,堂号,家谱简介,详情链接
龙泉廖氏家谱（浙江省/丽水市/龙泉市）,廖钦谋,廖,1986,--,始迁祖廖庆堂，原籍不详，迁到浙江省丽水市龙泉市，迁徙时间不详。 卷首一谱序，卷三实录考。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/82lbwxv8slyeeovb
龙泉市安仁镇天平乡李登村叶氏宗谱大成公门下分谱不分卷(浙江龙泉),叶昌茂,叶,1993年油印,--,始遷祖俊一，原籍松陽縣，明宣德年間逃荒至龍泉，入贅李登村張氏。第十九世大成，清末人，為本支祖。內錄譜序、世系圖、人物小傳。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/08t57uc1imjtzcok
龙泉市季山头村辰房季氏宗谱（浙江省/丽水市/龙泉市）,季光湘,季,2013,--,始迁祖小九，南宋乾道间自浙江龙泉安仁镇迁居邑之季山头村。二十五世分日、月、星三房，日房祖永熙、月房祖永勋、星房祖永烈。 谱分八章，章一季姓溯源，章二日房支谱，章三月房支谱，章四星房支谱，章五地理风情，章六要事记述，章七诗文书画，章八乐款后记。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/imedhknj1oyi3m1r
龙泉季氏族谱十六卷（浙江省丽水市龙泉市）,季孝心;季忠訚,季,1933年,--,始遷祖償，字秉乾，行維一，唐德宗初年自武林（今杭州市）宦居劍川縣邑城（今龍泉市龍淵鎮）。卷一譜序、尊祖说、譜例、譜訓、譜誡，卷二碑記、祠記、祠誌、像圖、墳圖、系圖，卷三至十四世系圖，卷十五傳、贊、選舉、科名、宦迹、閨操、挽文，卷十六詩賦、廟文、倡首與事芳名、新增譜例紀録議決小引。譜初修於北宋天聖初年，此为九修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/3noiyvz9fr6li6nd
龙泉涂氏宗谱二卷(浙江龙泉),涂永利,涂,清光緒30年(1904),五桂堂,宜黃始祖崇（行大一或太一），先世自豫章遷居南豐，於唐末五代間遷居宜黃待賢鄉。汀州始祖六郎（行日一），崇十六世孫，約於南宋時自江西贛州遷居汀州府長汀縣丹溪。本支始祖一郎（字一位，行），大一八世孫，明代遷居武平縣雲磜，復遷硿頭隘邱留里背坊。始遷祖光桂（行律一），一郎十四孫，清乾隆元年遷居括蒼龍泉縣東鄉廿二都。卷一譜序、凡例、家訓、服制圖、歷代仕宦、傳贊、題捐、譜記、世系圖，卷二世系。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/5syqrueb2astcov7
龙泉吴氏统谱（浙江省/丽水市/龙泉市）,吴长庚,吴,2004,--,始迁祖畴公（讳祎，行十二郎，字汉章，号祯法），官封都巡，大中大夫，为避董昌作乱，侍父母兄弟于亁宁二年弃家由浙江山阴（绍兴县）和乐村行至青田白岩，仪栖一载，因匪患于亁宁三年复迁永嘉郡安因县库村。天复三年与兄畦（禔）徙居龙泉松源墩头上苍肇基。龙泉吴氏另一支是重道世系，有城北黄鹤外埲、源头和八都樟府会三个家族，分别由金公自福建培田迁居城北黄鹤外埲。明廷公兄弟从福建宁化长邑宣河里上篱乡吴家坊迁居城北黄鹤源头。国清公从广东古梅州程乡县义化都畲脑迁居八都樟府会。 谱载凡例、述徳序名引、序言、谱序、上古源流、古吴春秋、吴国世系表、墓、诗、楹联集锦、世系、历代名人录、名人才录、革命烈士名录、抗战阵亡将士录、芳名录、吴氏望郡、吴氏堂号、后记等 。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/o4492vvme2q2wx76
龙泉南北派刘氏四修族谱（江西省/吉安市/遂川县）,--,刘,2000,敬茂堂,始迁祖文清，宋代人。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/h6jr28h1w33q4dy6
龙河李氏宗谱十七卷（安徽省安庆市桐城市）,李兆隆;李英秀,李,清道光二十九年（1849）,绵远堂,始祖貴三，原居江西鄱陽，元代避亂卜居桐城。三修本。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/m9remdeokvgbf6m3
龙河李氏宗谱二十九卷末一卷（安徽省安庆市桐城市）,李燮甫,李,清光緒三十年（1904）,绵远堂,始祖貴三，原居江西鄱陽，元代避亂卜居桐城。書名據版心題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/d9u6r6h5roh45gk1
龙沙（后沙）陇西李氏族谱（福建省/福州市/连江县）,李泰嘉,李,1995,--,始祖诲（更名邦），唐开成二年状元及第，福建观察使，因黄巢之乱弃官卜迁福建古田杉洋居焉。始迁祖朋（字君百，号雨尊），明代迁居后沙，为霞浦下浒石湖连江荻芦后沙筱澳林庄岭口亭头及长乐沙京之祖。 谱载谱序、因由、祠堂记、缘由、唐正统受命、李唐皇帝陵、门第、行第、当代名人录、本届修谱效力人员、乐捐芳名、世系图、世表、附录。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/hgvxsuah3o6bpwxz
龙沙王氏宗谱（甘肃省/白银市/景泰县）,王杰中,王,2010,三槐堂,始迁祖道臣，明万历年间由浙江余姚迁至永泰（今属甘肃省景泰县）旧城子屯垦戍边。 谱载开姓受族、支派繁衍、家族文化特色、王氏分布、认祖归宗、源流世系图考、世系图、世系表、人物传略、附录等。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/s28kk3lgbjauh5c4
龙池陈氏宗谱（浙江省金华市浦江县）,不详,陈,清光緒2年(1876),--,始祖臨，字善復，行第九，南宋紹興間由臨安入贅浦江楊塢錢氏，遂占籍为浦江人。始遷祖豐，字之大，行千三，臨六世孫，南宋末移居龍池。存卷为世系。存卷二。書名據版心題。,https://jiapu.library.sh.cn/https://jiapu.library.sh.cn/#/GenealogySummary:http://data.library.sh.cn/jp/resource/work/zb2pqyzi31d3e64s
